time,flux,flux_err,timecorr,cadenceno,centroid_col,centroid_row,sap_flux,sap_flux_err,sap_bkg,sap_bkg_err,pdcsap_flux,pdcsap_flux_err,quality,psf_centr1,psf_centr1_err,psf_centr2,psf_centr2_err,mom_centr1,mom_centr1_err,mom_centr2,mom_centr2_err,pos_corr1,pos_corr2
1517.3501283104897,,,3.0944834e-03,208722,,,,,,,,,10000,,,,,,,,,,
1517.3529060943206,,,3.0944906e-03,208724,,,,,,,,,10000,,,,,,,,,,
1517.3542949861185,,,3.0944941e-03,208725,,,,,,,,,10000,,,,,,,,,,
1517.3570727697143,,,3.0945011e-03,208727,,,,,,,,,10000,,,,,,,,,,
1517.3584616617463,,,3.0945048e-03,208728,,,,,,,,,10000,,,,,,,,,,
1517.3598505535447,,,3.0945083e-03,208729,,,,,,,,,10000,,,,,,,,,,
1517.3612394455758,,,3.0945120e-03,208730,,,,,,,,,10000,,,,,,,,,,
1517.3626283373744,,,3.0945155e-03,208731,,,,,,,,,10000,,,,,,,,,,
1517.3654061212033,,,3.0945227e-03,208733,,,,,,,,,10000,,,,,,,,,,
1517.3667950132353,,,3.0945265e-03,208734,1091.27783,678.76906,2.2012073e+03,1.2608156e+01,8.4207354e+03,5.9935617e+00,,,1000000000000,,,,,1091.27783,3.5363650e-03,678.76906,3.9448687e-03,4.1756965e-02,5.2963313e-02
1517.3737394731588,,,3.0945449e-03,208739,1091.28171,678.76518,2.1866616e+03,1.2348711e+01,8.0054521e+03,5.8601904e+00,,,1000000000000,,,,,1091.28171,3.4811823e-03,678.76518,3.8900538e-03,4.2419422e-02,4.3288246e-02
1517.37512836519,,,3.0945486e-03,208740,1091.27660,678.77507,2.2041702e+03,1.2315573e+01,7.9337734e+03,5.8355851e+00,,,1000000000000,,,,,1091.27660,3.4485487e-03,678.77507,3.8444097e-03,4.0822692e-02,4.0575281e-02
1517.3765172572212,,,3.0945523e-03,208741,1091.27408,678.76019,2.1927537e+03,1.2260519e+01,7.8608384e+03,5.8085613e+00,,,1000000000000,,,,,1091.27408,3.4527904e-03,678.76019,3.8576478e-03,4.1130021e-02,3.6792085e-02
1517.3779061494852,,,3.0945563e-03,208742,1091.27855,678.76743,2.1982007e+03,1.2214360e+01,7.7847422e+03,5.7826662e+00,,,1000000000000,,,,,1091.27855,3.4287379e-03,678.76743,3.8267737e-03,4.1703582e-02,4.7155265e-02
1517.3862395019062,,,3.0945789e-03,208748,1091.28040,678.76097,2.1677415e+03,1.1936254e+01,7.3591245e+03,5.6325889e+00,,,1000000000000,,,,,1091.28040,3.3953006e-03,678.76097,3.7997493e-03,3.6000285e-02,2.1981347e-02
1517.3890172862002,,,3.0945865e-03,208750,1091.27623,678.76188,2.1737910e+03,1.1846721e+01,7.2220737e+03,5.5861058e+00,,,1000000000000,,,,,1091.27623,3.3590994e-03,678.76188,3.7584375e-03,4.2528838e-02,3.2398324e-02
